California Patient Origin Report,,,,
Calendar Year 2022-2023,,,,
,,,,
FACILITY_NAME,- all -,,,
oshpd_id,- all -,,,
COUNTY_NAME,- all -,,,
pattype,- all -,,,
,,,,
Sum of discharges,year,,,
Row Labels,2022,2023,,
92711,277,274,,
92728,201,276,,
92735,36,58,,
92780,21700,22295,,
92781,450,411,,
92782,7541,7670,,
92799,216,208,,
92801,29158,30860,,
92802,18480,19670,,
92803,480,569,,
92804,37877,40496,,
92805,33028,36334,,
92806,17447,18191,,
92807,13232,13489,,
92808,5769,5891,,
92809,158,154,,
92811,71,72,,
92812,143,156,,
92814,109,134,,
92815,216,263,,
92816,80,114,,
92817,157,162,,
92821,13439,14151,,
92822,307,289,,
92823,1681,1652,,
92825,41,32,,
92831,13512,14049,,
92832,11275,11836,,
92833,17776,18829,,
92834,262,279,,
92835,8860,9545,,
92836,126,128,,
92837,157,131,,
92838,99,115,,
92840,20554,21410,,
92841,11975,12565,,
92842,446,446,,
92843,17262,18523,,
92844,7355,8080,,
92845,5240,5477,,
92846,108,144,,
92850,20,14,,
92856,184,181,,
92857,32,30,,
92859,66,68,,
92861,1902,1700,,
92862,31,42,,
92863,468,546,,
92864,27,28,,
92865,7682,7887,,
92866,5836,6028,,
92867,15854,16230,,
92868,11995,14486,,
92869,12821,13506,,
92870,20807,22130,,
92871,310,329,,
92885,165,207,,
92886,16740,17346,,
92887,6457,6515,,
92712,2,1,,
92899,,6,,
OREGON,12496,12496,,
OREGON,12496,12496,,
OTHER U.S.,138887,143056,,
OTHER U.S.,138887,143056,,
OTHER/UNKNOWN,50102,278087,,
90200,5,13,,
90500,2,2,,
90600,3,7,,
90700,2,27,,
90800,3,474,,
91100,1,4,,
91300,4,12,,
91400,6,18,,
91700,11,15,,
92100,2,3,,
92300,1,47,,
92400,5,904,,
92500,7,67,,
92600,8,350,,
92700,3,69,,
92800,4,74,,
93000,6,28,,
93100,1,63,,
93500,1,12,,
94000,2,23,,
94100,3,4552,,
94500,23,568,,
95000,5,314,,
95100,1,8,,
95300,5,445,,
95400,1,174,,
95600,12,73,,
96000,3,383,,
OTHER/UNKNOWN,49950,266880,,
93700,1,3,,
90300,3,7,,
91600,2,4,,
95900,1,7,,
95200,4,128,,
90400,2,3,,
91900,1,1,,
91200,4,159,,
94300,1,1,,
90100,2,1,,
93400,1,23,,
94700,,46,,
94600,,136,,
94400,,9,,
95500,,37,,
93600,,24,,
93300,,847,,
93200,,6,,
91800,,227,,
91500,,3,,
91000,,8,,
92000,,5,,
92200,,5,,
94900,,54,,
93900,,10,,
94200,,196,,
94800,,3,,
95700,,4,,
95800,,521,,
OUTSIDE U.S.,14704,37970,,
OUTSIDE U.S.,14704,37970,,
PLACER,177803,193002,,
95602,9385,10406,,
95603,14855,16293,,
95604,1239,1269,,
95631,3213,3298,,
95648,24482,25900,,
95650,5252,5623,,
95658,2852,3040,,
95661,14697,16820,,
95663,1121,1351,,
95677,12367,13044,,
95678,20017,21659,,
95681,674,789,,
95701,414,478,,
95703,1049,1149,,
95713,4021,4453,,
95714,199,180,,
95715,54,61,,
95717,155,141,,
95722,2285,2349,,
95736,722,657,,
95746,7565,7995,,
95747,32126,35943,,
95765,14682,15734,,
96140,407,419,,
96141,231,212,,
96143,1561,1485,,
96145,1246,1259,,
96146,486,510,,
96148,446,485,,
PLUMAS,11499,11174,,
95915,11,16,,
95923,17,24,,
95934,217,153,,
95947,858,790,,
95956,221,229,,
95971,3954,3771,,
95980,12,5,,
95983,227,220,,
95984,83,98,,
96020,1812,1824,,
96103,800,778,,
96105,108,130,,
96106,254,272,,
96122,2762,2648,,
96129,120,167,,
96135,43,49,,
RIVERSIDE,1159988,1196033,,
91752,15635,16582,,
92201,34982,35578,,
92202,1026,836,,
92203,12629,13645,,
92210,2193,2280,,
92211,13427,13498,,
92220,24720,25492,,
92223,31275,32331,,
92225,9287,4957,,
92226,739,369,,
92230,2238,2304,,
92234,25220,26259,,
92235,485,473,,
92236,21977,21748,,
92239,143,106,,
92240,25436,26295,,
92241,4720,4909,,
92247,310,317,,
92248,342,309,,
92253,15515,16225,,
92254,6200,6023,,
92255,382,342,,
92258,570,575,,
92260,14795,15533,,
92261,325,423,,
92262,14891,16331,,
92263,985,951,,
92264,8944,9556,,
92270,9531,9782,,
92274,9758,9835,,
92276,4487,4512,,
92282,837,867,,
92320,5259,5396,,
92501,17684,20216,,
92502,599,633,,
92503,45260,48009,,
92504,27946,29276,,
92505,25196,25685,,
92506,18841,19983,,
92507,28435,29452,,
92508,11151,11284,,
92509,37485,39888,,
92513,262,335,,
92514,81,96,,
92516,158,138,,
92517,507,559,,
92518,707,880,,
92519,227,197,,
92521,24,15,,
92522,9,6,,
92530,28801,29650,,
92531,273,238,,
92532,10334,10524,,
92536,1602,1565,,
92539,2124,2078,,
92543,28361,29106,,
92544,27441,28826,,
92545,25002,26595,,
92546,507,526,,
92548,4461,4545,,
92549,1459,1467,,
92551,17928,18704,,
92552,834,776,,
92553,41631,41514,,
92554,144,137,,
92555,21418,22437,,
92556,328,267,,
92557,25931,26367,,
92561,673,787,,
92562,25144,25346,,
92563,27346,27535,,
92564,1346,1524,,
92567,5080,5396,,
92570,31653,32345,,
92571,28658,28889,,
92572,600,585,,
92581,680,695,,
92582,10371,10588,,
92583,19715,20808,,
92584,25303,26450,,
92585,12621,13370,,
92586,13842,14597,,
92587,7572,7611,,
92589,1039,1019,,
92590,1854,1898,,
92591,15086,15462,,
92592,26175,26915,,
92593,300,303,,
92595,16843,17318,,
92596,12668,13307,,
92599,10,10,,
92860,9720,10512,,
92877,264,320,,
92878,4910,5186,,
92879,20301,20751,,
92880,18916,19237,,
92881,10218,10387,,
92882,26830,27932,,
92883,11836,12337,,
SACRAMENTO,761365,818195,,
94203,55,65,,
94204,16,8,,
94205,9,6,,
94206,3,9,,
94207,10,4,,
94208,1,3,,
94211,3,6,,
94234,7,2,,
94240,5,5,,
94245,2,1,,
94261,2,2,,
95608,32548,34515,,
95609,532,532,,
95610,22208,24222,,
95611,444,513,,
95615,342,330,,
95621,21802,23481,,
95624,24985,26126,,
95626,3030,3221,,
95628,18111,19261,,
95630,24803,28945,,
95632,14355,14776,,
95638,983,984,,
95639,146,153,,
95641,1287,1302,,
95652,491,480,,
95655,1624,1858,,
95660,22279,23473,,
95662,14172,15477,,
95670,27580,30294,,
95671,1043,1049,,
95673,9004,9923,,
95680,77,72,,
95683,2652,2706,,
95690,1207,1258,,
95693,2863,2811,,
95741,423,418,,
95742,6004,7122,,
95757,17184,18999,,
95758,24376,26069,,
95759,348,404,,
95763,358,417,,
95811,4467,6404,,
95812,2448,4096,,
95813,141,195,,
95814,5699,6984,,
95815,20141,21324,,
95816,7096,9055,,
95817,7801,8763,,
95818,8924,9325,,
95819,5846,6375,,
95820,20816,21555,,
95821,24186,25282,,
95822,23637,24794,,
95823,50976,53054,,
95824,18628,20070,,
95825,23785,24418,,
95826,18272,18849,,
95827,11319,12089,,
95828,31612,33302,,
95829,12283,13387,,
95830,396,390,,
95831,15495,16671,,
95832,6740,7154,,
95833,20595,21514,,
95834,16458,17588,,
95835,15187,17113,,
95836,73,69,,
95837,106,154,,
95838,25896,26718,,
95840,19,23,,
95841,12509,13943,,
95842,19993,21017,,
95843,21672,23552,,
95851,116,147,,
95852,145,126,,
95853,115,113,,
95860,257,220,,
95864,9659,10552,,
95865,178,178,,
95866,238,260,,
95867,33,44,,
95894,1,,,
95899,5,2,,
94209,3,5,,
94295,1,,,
94248,3,,,
94235,7,,,
94280,1,1,,
94299,1,,,
94282,1,,,
94298,1,,,
94268,4,,,
94237,1,3,,
94274,1,2,,
94290,1,,,
94291,1,,,
94289,1,,,
94283,1,2,,
94285,,2,,
94263,,1,,
94244,,1,,
94229,,1,,
94273,,1,,
94288,,1,,
94284,,2,,
94230,,1,,
94236,,1,,
SAN BENITO,36997,38593,,
95023,33265,34723,,
95024,1002,950,,
95043,260,259,,
95045,2192,2319,,
95075,278,342,,
SAN BERNARDINO,1025670,1089127,,
91701,14199,14469,,
91708,4858,5063,,
91709,20902,20974,,
91710,32305,33759,,
91729,637,629,,
91730,27705,28677,,
91737,8333,8342,,
91739,14913,16193,,
91743,35,56,,
91758,24,45,,
91759,189,166,,
91761,25985,27601,,
91762,29884,30706,,
91763,18855,19278,,
91764,25679,26756,,
91784,9355,9715,,
91785,409,444,,
91786,24969,26039,,
92242,123,113,,
92252,5113,4985,,
92256,1908,1903,,
92267,8,18,,
92268,223,195,,
92277,12104,11934,,
92278,100,100,,
92280,33,17,,
92284,15430,15277,,
92285,1456,1419,,
92286,618,606,,
92301,21525,22922,,
92304,83,59,,
92305,238,255,,
92307,23676,25005,,
92308,22032,23109,,
92309,246,204,,
92310,602,716,,
92311,29397,29544,,
92312,444,476,,
92313,5134,5297,,
92314,5245,5407,,
92315,4238,4186,,
92316,14159,16028,,
92317,1777,1361,,
92318,93,111,,
92321,734,728,,
92322,307,326,,
92323,23,22,,
92324,27932,31084,,
92325,5158,5235,,
92327,493,441,,
92329,1889,1746,,
92331,191,169,,
92332,28,38,,
92333,310,328,,
92334,596,631,,
92335,43081,47126,,
92336,36388,39449,,
92337,12401,13217,,
92338,32,41,,
92339,380,410,,
92340,591,531,,
92341,170,203,,
92342,3098,3344,,
92344,8453,9201,,
92345,44385,46215,,
92346,26136,28545,,
92347,505,544,,
92350,58,82,,
92352,2243,2577,,
92354,11036,11632,,
92356,3619,3776,,
92357,26,96,,
92358,371,404,,
92359,3802,4124,,
92363,3770,4160,,
92364,13,10,,
92365,1152,1247,,
92366,32,35,,
92368,687,663,,
92369,488,565,,
92371,5832,6354,,
92372,2224,2552,,
92373,13015,14462,,
92374,18386,19451,,
92375,338,482,,
92376,39950,44008,,
92377,8270,9039,,
92378,349,314,,
92382,2691,2536,,
92385,200,256,,
92386,1510,1499,,
92391,1093,1088,,
92392,32971,35660,,
92393,828,824,,
92394,19629,20928,,
92395,28161,30004,,
92397,1794,1892,,
92398,1024,1019,,
92399,23441,23741,,
92401,2476,2598,,
92402,443,510,,
92403,58,52,,
92404,40815,45228,,
92405,19662,21259,,
92406,334,483,,
92407,32792,35364,,
92408,7427,8180,,
92410,31900,35217,,
92411,19112,21177,,
92413,205,308,,
92415,982,1789,,
92418,10,12,,
92423,356,348,,
92427,253,244,,
93562,1255,1060,,
93592,65,85,,
SAN DIEGO,1324182,1345057,,
91901,7415,7606,,
91902,7229,7582,,
91903,411,478,,
91905,993,1041,,
91906,2170,2041,,
91908,191,192,,
91909,203,184,,
91910,37950,39070,,
91911,43166,44396,,
91912,764,808,,
91913,18844,20685,,
91914,5226,5406,,
91915,11360,11885,,
91916,841,838,,
91917,500,558,,
91921,265,228,,
91931,249,277,,
91932,11892,12286,,
91933,207,210,,
91934,465,440,,
91935,3527,3610,,
91941,14126,14464,,
91942,18921,19965,,
91943,126,119,,
91944,255,274,,
91945,14352,15385,,
91946,170,230,,
91948,25,41,,
91950,30423,32413,,
91951,291,342,,
91962,891,795,,
91963,720,711,,
91976,130,137,,
91977,31019,31747,,
91978,4711,4957,,
91979,261,242,,
91980,495,468,,
91987,1,2,,
92003,1955,1758,,
92004,1518,1524,,
92007,3565,3771,,
92008,9537,8598,,
92009,13116,13641,,
92010,5940,5370,,
92011,7855,8132,,
92013,175,171,,
92014,4712,4723,,
92018,318,334,,
92019,21289,21931,,
92020,34682,35110,,
92021,39019,39699,,
92022,370,351,,
92023,403,455,,
92024,16929,18049,,
92025,22307,23509,,
92026,21525,22258,,
92027,22854,23220,,
92028,18837,18453,,
92029,8164,8472,,
92030,287,245,,
92033,337,311,,
92036,1425,1531,,
92037,12626,13318,,
92038,360,353,,
92039,108,82,,
92040,21280,21771,,
92046,325,375,,
92049,129,114,,
92051,271,224,,
92052,328,281,,
92054,15273,10941,,
92055,187,134,,
92056,20747,15529,,
92057,19949,15505,,
92058,12544,9347,,
92059,892,957,,
92060,113,108,,
92061,1339,1442,,
92064,16831,17479,,
92065,15739,16172,,
92066,148,165,,
92067,3899,3867,,
92068,101,118,,
92069,16813,17573,,
92070,622,751,,
92071,24348,25066,,
92072,384,346,,
92074,190,199,,
92075,4099,4285,,
92078,17528,17076,,
92079,279,332,,
92081,10297,8281,,
92082,8825,9007,,
92083,15481,11170,,
92084,19513,15639,,
92085,419,387,,
92086,697,697,,
92088,319,307,,
92091,591,603,,
92092,1135,1184,,
92093,42,51,,
92096,5,6,,
92101,23808,26810,,
92102,19091,20246,,
92103,13565,18057,,
92104,16179,16303,,
92105,33285,35032,,
92106,6537,6805,,
92107,8361,8705,,
92108,9431,10606,,
92109,12384,12387,,
92110,10677,11090,,
92111,19084,19995,,
92112,517,747,,
92113,29188,30257,,
92114,34478,35467,,
92115,25844,27381,,
92116,10401,10835,,
92117,19709,20797,,
92118,7700,7840,,
92119,9762,10126,,
92120,12876,13320,,
92121,1208,1267,,
92122,12886,13026,,
92123,13349,13610,,
92124,10157,10783,,
92126,22594,23382,,
92127,12791,13363,,
92128,16111,17051,,
92129,14934,15706,,
92130,14114,14910,,
92131,10055,10379,,
92132,12,17,,
92134,52,74,,
92135,46,43,,
92136,170,160,,
92137,155,162,,
92138,362,339,,
92139,14822,15701,,
92140,38,40,,
92142,134,140,,
92143,508,495,,
92145,136,98,,
92147,6,11,,
92149,113,57,,
92150,358,368,,
92152,3,8,,
92153,332,295,,
92154,37863,39778,,
92155,35,24,,
92158,390,457,,
92159,167,150,,
92160,180,189,,
92161,5,6,,
92163,327,367,,
92165,199,156,,
92166,188,186,,
92167,167,146,,
92168,136,155,,
92169,310,278,,
92170,163,174,,
92171,128,134,,
92172,125,120,,
92173,18612,19542,,
92174,285,330,,
92175,175,162,,
92176,210,175,,
92177,159,267,,
92178,281,248,,
92179,1730,1585,,
92182,16,23,,
92186,2,4,,
92191,65,45,,
92192,372,209,,
92193,222,199,,
92195,222,225,,
92196,219,226,,
92198,215,229,,
92199,7,5,,
92197,4,,,
92187,,1,,
SAN FRANCISCO,297852,329074,,
94102,18897,22925,,
94103,16706,19687,,
94104,389,452,,
94105,3697,3881,,
94107,9337,10012,,
94108,4147,4418,,
94109,20884,23812,,
94110,25931,35245,,
94111,1696,1767,,
94112,29608,31000,,
94114,9557,10424,,
94115,13016,13559,,
94116,13006,13542,,
94117,10250,10738,,
94118,10672,11210,,
94119,180,149,,
94120,39,30,,
94121,11656,12210,,
94122,15159,15771,,
94123,5744,5946,,
94124,22178,23467,,
94125,20,27,,
94126,54,60,,
94127,6073,6563,,
94129,912,888,,
94130,1214,1297,,
94131,8723,8881,,
94132,8379,9332,,
94133,8064,8439,,
94134,16569,17447,,
94137,22,9,,
94139,15,14,,
94140,129,149,,
94141,149,159,,
94142,226,350,,
94143,596,801,,
94144,16,15,,
94145,16,12,,
94146,58,104,,
94147,90,113,,
94151,2,3,,
94158,3313,3737,,
94159,82,58,,
94160,5,5,,
94163,3,2,,
94164,83,94,,
94172,32,13,,
94177,7,6,,
94188,251,250,,
94161,,1,,
SAN JOAQUIN,427487,450317,,
95201,1784,2053,,
95202,7743,7977,,
95203,13364,13860,,
95204,19438,21369,,
95205,27577,29131,,
95206,42147,42959,,
95207,29393,29777,,
95208,364,409,,
95209,21558,23073,,
95210,22465,22809,,
95211,81,76,,
95212,12197,13467,,
95213,245,226,,
95214,10,17,,
95215,15970,17017,,
95219,11833,12517,,
95220,3581,3730,,
95227,537,507,,
95230,351,368,,
95231,3343,3270,,
95234,96,88,,
95236,1936,2137,,
95237,1995,1993,,
95240,28666,29629,,
95241,639,854,,
95242,13794,14450,,
95253,258,299,,
95258,2254,2297,,
95267,271,293,,
95269,490,539,,
95296,1,7,,
95297,3,3,,
95304,6632,7185,,
95320,6615,6670,,
95330,15160,16500,,
95336,29917,31193,,
95337,25143,26831,,
95366,7883,8190,,
95376,28380,30869,,
95377,14951,17020,,
95378,295,338,,
95385,324,298,,
95391,7081,7421,,
95686,722,601,,
SAN LUIS OBISPO,124769,128685,,
93401,13453,14424,,
93402,5936,5912,,
93403,715,778,,
93405,6639,6701,,
93406,539,497,,
93407,11,14,,
93408,12,14,,
93409,275,286,,
93410,97,81,,
93412,210,166,,
93420,13734,14005,,
93421,555,473,,
93422,13922,14554,,
93423,1037,1019,,
93424,625,583,,
93428,2653,2728,,
93430,1188,1275,,
93432,681,661,,
93433,6246,6142,,
93435,31,23,,
93442,5122,5395,,
93443,375,413,,
93444,10764,11332,,
93445,3502,3541,,
93446,21718,22806,,
93447,1351,1127,,
93448,537,473,,
93449,3361,3458,,
93451,2480,2566,,
93452,179,233,,
93453,1209,1259,,
93461,684,722,,
93465,4215,4329,,
93475,281,229,,
93483,432,466,,
SAN MATEO,285932,306252,,
94002,9921,10690,,
94005,1716,1842,,
94010,14210,16079,,
94011,196,209,,
94014,17381,18424,,
94015,21686,23834,,
94016,56,67,,
94017,211,225,,
94018,1380,1397,,
94019,7359,7481,,
94020,603,610,,
94021,91,74,,
94025,14732,15841,,
94026,291,312,,
94027,2085,2218,,
94028,2265,2339,,
94030,7962,8974,,
94037,949,1039,,
94038,1402,1511,,
94044,14333,14824,,
94060,572,661,,
94061,16867,17528,,
94062,10305,10898,,
94063,20680,21821,,
94064,268,357,,
94065,3886,4332,,
94066,18111,19522,,
94070,11293,11912,,
94074,122,121,,
94080,28304,30034,,
94083,225,165,,
94128,86,66,,
94401,18215,19572,,
94402,9292,10165,,
94403,17891,19406,,
94404,10986,11702,,
SANTA BARBARA,197712,206444,,
93013,5498,5921,,
93014,206,240,,
93067,337,422,,
93101,12675,14655,,
93102,245,270,,
93103,7768,8872,,
93105,9002,9686,,
93106,148,155,,
93107,127,134,,
93108,3468,3709,,
93109,3432,3641,,
93110,5993,6313,,
93111,7437,7616,,
93116,257,246,,
93117,15567,16499,,
93118,94,113,,
93120,206,166,,
93121,153,148,,
93130,304,359,,
93140,350,338,,
93150,234,204,,
93160,205,211,,
93190,181,141,,
93254,293,293,,
93427,2936,3058,,
93429,80,72,,
93434,4173,4373,,
93436,31634,31255,,
93437,1442,1323,,
93438,615,490,,
93440,770,813,,
93441,510,509,,
93454,23073,23904,,
93455,19093,19023,,
93456,1108,1160,,
93457,195,158,,
93458,30864,32472,,
93460,2973,3050,,
93463,3754,4131,,
93464,312,301,,
SANTA CLARA,750980,796706,,
94022,6361,6486,,
94023,202,214,,
94024,6831,7391,,
94035,39,21,,
94039,153,187,,
94040,11629,12259,,
94041,4934,5582,,
94042,202,283,,
94043,9686,10426,,
94085,8096,8369,,
94086,16260,17661,,
94087,16287,17477,,
94088,161,219,,
94089,7818,8286,,
94301,5193,5626,,
94302,223,228,,
94303,24765,26279,,
94304,1243,1317,,
94305,2408,2397,,
94306,8284,8838,,
94309,116,73,,
95002,955,1015,,
95008,17412,18675,,
95009,124,123,,
95011,297,320,,
95013,69,80,,
95014,14565,15201,,
95015,270,234,,
95020,38568,41410,,
95021,1039,1023,,
95026,13,13,,
95030,4198,4620,,
95031,358,352,,
95032,9223,9813,,
95033,3011,2932,,
95035,22604,24041,,
95036,253,212,,
95037,23112,23912,,
95038,606,682,,
95042,37,15,,
95044,103,92,,
95046,3970,4020,,
95050,15191,16098,,
95051,19620,20597,,
95052,111,180,,
95053,94,83,,
95054,6946,7388,,
95055,278,294,,
95056,126,119,,
95070,9400,9991,,
95071,73,56,,
95101,62,27,,
95103,99,142,,
95106,128,129,,
95108,93,54,,
95109,253,255,,
95110,10538,11598,,
95111,29157,30131,,
95112,29139,31773,,
95113,4723,5166,,
95115,69,49,,
95116,31317,33158,,
95117,13302,14263,,
95118,13242,13674,,
95119,4262,4992,,
95120,10438,11167,,
95121,14066,14864,,
95122,29538,30891,,
95123,28313,29577,,
95124,17193,17942,,
95125,21454,22969,,
95126,17131,18270,,
95127,30136,32057,,
95128,15978,16962,,
95129,10499,11614,,
95130,4624,4844,,
95131,8603,9101,,
95132,12139,12869,,
95133,10381,11079,,
95134,7064,7274,,
95135,6726,6957,,
95136,18859,20408,,
95138,6318,6556,,
95139,2542,2677,,
95140,148,156,,
95141,6,10,,
95148,15611,16575,,
95150,330,346,,
95151,478,421,,
95152,161,173,,
95153,293,279,,
95154,222,201,,
95155,86,111,,
95156,314,285,,
95157,194,195,,
95158,211,213,,
95159,249,282,,
95160,123,100,,
95161,315,304,,
95164,57,70,,
95170,24,14,,
95172,57,48,,
95173,188,204,,
95192,1,2,,
95196,2,6,,
95193,1,4,,
95190,6,4,,
95191,,4,,
SANTA CRUZ,109840,116796,,
95001,521,542,,
95003,8550,8848,,
95005,2104,2317,,
95006,2897,3141,,
95007,272,303,,
95010,3641,3815,,
95017,235,203,,
95018,2623,2834,,
95019,4126,4450,,
95041,199,218,,
95060,14467,16891,,
95061,401,365,,
95062,12982,13597,,
95063,493,495,,
95064,458,497,,
95065,3074,3153,,
95066,5327,5477,,
95067,288,322,,
95073,3975,4336,,
95076,42145,43896,,
95077,1062,1096,,
SHASTA,100969,106914,,
96001,18371,21033,,
96002,17729,18289,,
96003,22164,23434,,
96007,13565,14203,,
96008,747,750,,
96011,60,53,,
96013,2902,2706,,
96016,205,185,,
96017,98,117,,
96019,5715,6135,,
96022,8178,8373,,
96028,928,1067,,
96033,205,237,,
96040,122,152,,
96047,410,417,,
96049,953,1141,,
96051,631,713,,
96056,1101,961,,
96062,434,383,,
96065,261,270,,
96069,409,374,,
96071,77,51,,
96073,1593,1725,,
96076,85,88,,
96079,14,31,,
96084,241,256,,
96087,306,413,,
96088,2227,2271,,
96089,379,264,,
96095,12,5,,
96096,245,281,,
96099,600,534,,
96070,2,2,,
SIERRA,1080,1059,,
95910,37,40,,
95936,113,151,,
95944,25,36,,
96118,586,511,,
96124,160,127,,
96125,56,85,,
96126,103,109,,
SISKIYOU,24856,27609,,
95568,44,46,,
96014,50,62,,
96023,141,147,,
96025,1734,1658,,
96027,776,932,,
96031,38,34,,
96032,1049,1271,,
96034,166,175,,
96037,158,195,,
96038,391,439,,
96039,334,420,,
96044,523,561,,
96050,153,159,,
96057,922,813,,
96058,134,140,,
96064,2274,2435,,
96067,4292,4527,,
96085,23,30,,
96086,73,104,,
96094,4296,4716,,
96097,7178,8607,,
96134,107,138,,
SOLANO,248153,255716,,
94510,10444,10915,,
94512,76,87,,
94533,51379,51545,,
94534,17286,17891,,
94535,785,694,,
94571,6082,6387,,
94585,16441,16753,,
94589,19449,19997,,
94590,27340,28400,,
94591,28031,29534,,
94592,385,410,,
95620,12089,12884,,
95625,182,244,,
95687,35472,36440,,
95688,20879,21505,,
95696,1833,2030,,
SONOMA,237388,255332,,
94922,144,184,,
94923,562,591,,
94926,26,29,,
94927,231,295,,
94928,21524,23503,,
94931,4302,4473,,
94951,2000,2114,,
94952,13415,14374,,
94953,252,265,,
94954,16808,17878,,
94955,143,115,,
94972,146,154,,
94975,180,224,,
94999,6,3,,
95401,20197,22342,,
95402,1269,1386,,
95403,23282,24911,,
95404,18448,20124,,
95405,10482,11017,,
95406,417,461,,
95407,22750,25141,,
95409,13472,14778,,
95412,95,97,,
95416,671,565,,
95419,77,83,,
95421,545,639,,
95425,6393,6718,,
95430,98,89,,
95431,29,16,,
95433,325,356,,
95436,2588,2674,,
95439,435,432,,
95441,892,947,,
95442,1272,1271,,
95444,471,484,,
95446,2386,2731,,
95448,8765,9343,,
95450,158,127,,
95452,662,714,,
95462,606,693,,
95465,709,744,,
95471,171,143,,
95472,10678,11433,,
95473,411,417,,
95476,15747,16315,,
95480,91,104,,
95486,51,45,,
95487,112,104,,
95492,12724,13515,,
95497,170,171,,
STANISLAUS,358355,358105,,
95307,28935,27924,,
95313,827,768,,
95316,3716,3704,,
95319,2183,2022,,
95323,738,669,,
95326,5446,5556,,
95328,2913,2842,,
95329,1658,1572,,
95350,40820,42465,,
95351,39089,38366,,
95352,394,376,,
95353,860,775,,
95354,22096,22984,,
95355,38602,38673,,
95356,19619,19757,,
95357,8333,8342,,
95358,20934,20778,,
95360,6656,6768,,
95361,22326,22215,,
95363,14484,14502,,
95367,15189,15299,,
95368,7832,7893,,
95380,28192,27251,,
95381,1072,1091,,
95382,18302,18484,,
95386,6623,6462,,
95387,511,564,,
95397,5,3,,
SUTTER,51517,51883,,
95659,323,377,,
95668,366,440,,
95674,333,313,,
95676,175,216,,
95953,6197,6539,,
95957,421,381,,
95982,1455,1458,,
95991,25666,25557,,
95992,557,680,,
95993,16024,15922,,
TEHAMA,40356,41568,,
96021,11256,11387,,
96029,103,126,,
96035,2321,2254,,
96055,2643,2856,,
96059,263,308,,
96061,24,24,,
96063,42,34,,
96074,97,95,,
96075,223,218,,
96078,172,224,,
96080,22680,23425,,
96090,304,374,,
96092,228,243,,
TRINITY,7394,7421,,
95527,138,136,,
95552,196,192,,
95563,305,238,,
95595,69,57,,
96010,87,99,,
96024,566,607,,
96041,1163,1155,,
96046,76,74,,
96048,360,361,,
96052,905,997,,
96091,293,243,,
96093,3236,3262,,
TULARE,225762,232674,,
93201,751,706,,
93207,153,138,,
93208,10,17,,
93218,479,483,,
93219,5378,5240,,
93221,5791,6041,,
93223,4499,4672,,
93227,500,382,,
93235,1918,2059,,
93237,3,4,,
93244,208,225,,
93247,8061,8386,,
93256,3089,2947,,
93257,40371,40551,,
93258,2013,1935,,
93260,86,101,,
93261,1424,1398,,
93262,21,30,,
93265,1825,1819,,
93267,3063,3205,,
93270,2765,2849,,
93271,645,678,,
93272,1453,1488,,
93274,43662,43430,,
93275,805,710,,
93277,22219,24143,,
93278,246,257,,
93279,338,283,,
93282,7,9,,
93286,3924,4193,,
93290,290,284,,
93291,24687,27519,,
93292,17020,18729,,
93603,47,52,,
93615,3198,3190,,
93618,17829,17530,,
93633,15,9,,
93647,5931,5990,,
93666,520,503,,
93670,69,62,,
93673,449,427,,
TUOLUMNE,38694,38185,,
95305,215,259,,
95309,152,142,,
95310,1841,1962,,
95321,2350,2112,,
95327,5546,5969,,
95335,237,191,,
95346,695,667,,
95347,47,50,,
95364,90,102,,
95370,21018,20093,,
95372,1337,1534,,
95373,38,131,,
95375,33,8,,
95379,2590,2613,,
95383,2505,2352,,
VENTURA,374843,370951,,
91319,105,134,,
91320,14478,14994,,
91358,87,95,,
91359,327,343,,
91360,18129,18592,,
91361,6326,6757,,
91362,11804,12356,,
91377,3503,3454,,
93001,14704,12973,,
93002,525,507,,
93003,21346,18640,,
93004,12806,11292,,
93005,160,150,,
93006,426,415,,
93007,124,107,,
93009,70,84,,
93010,20840,20696,,
93011,507,538,,
93012,14010,14222,,
93015,8877,8740,,
93016,300,286,,
93020,176,166,,
93021,13122,13498,,
93022,3123,2868,,
93023,10148,9666,,
93024,275,255,,
93030,33419,33551,,
93031,869,852,,
93032,271,262,,
93033,39517,38893,,
93034,337,322,,
93035,11842,10883,,
93036,22475,21916,,
93040,1016,1108,,
93041,11267,10847,,
93042,53,58,,
93043,63,69,,
93044,247,262,,
93060,17698,17782,,
93061,309,220,,
93062,332,352,,
93063,24273,25536,,
93064,15,17,,
93065,32998,34622,,
93066,1335,1373,,
93094,208,198,,
93099,1,,,
YOLO,93899,102243,,
95605,8213,8886,,
95606,160,161,,
95607,144,128,,
95612,449,516,,
95616,14603,15680,,
95617,452,491,,
95618,8557,9102,,
95627,2049,2205,,
95637,127,157,,
95645,851,957,,
95653,266,363,,
95679,45,77,,
95691,17830,18925,,
95694,4795,5283,,
95695,20646,23215,,
95697,320,345,,
95698,141,129,,
95776,13267,14579,,
95798,79,86,,
95937,905,955,,
95799,,3,,
YUBA,50958,51519,,
95692,2538,2506,,
95901,25574,25458,,
95903,834,726,,
95918,977,960,,
95919,693,723,,
95922,244,283,,
95925,126,149,,
95935,388,534,,
95961,18869,19442,,
95962,587,639,,
95972,81,86,,
95981,47,13,,
Total Result,18105152,18769933,,
