California Patient Origin Report,,,,
Calendar Year 2022-2023,,,,
,,,,
FACILITY_NAME,- all -,,,
oshpd_id,- all -,,,
COUNTY_NAME,- all -,,,
pattype,- all -,,,
,,,,
Sum of discharges,year,,,
Row Labels,2022,2023,,
93716,32,23,,
93717,35,36,,
93718,95,342,,
93720,18419,20149,,
93721,4568,4472,,
93722,40384,40695,,
93723,5040,5556,,
93724,51,48,,
93725,14398,14297,,
93726,24085,23720,,
93727,39040,39376,,
93728,10351,10539,,
93729,437,478,,
93730,4311,4484,,
93737,2574,2653,,
93740,29,45,,
93741,1,1,,
93744,179,169,,
93745,92,100,,
93747,179,184,,
93750,19,19,,
93755,243,236,,
93760,12,9,,
93761,5,1,,
93764,8,1,,
93765,1,14,,
93771,39,46,,
93772,30,44,,
93773,27,53,,
93774,35,42,,
93775,39,41,,
93776,71,127,,
93777,32,32,,
93778,25,22,,
93779,22,21,,
93786,2,1,,
93790,95,81,,
93791,30,39,,
93792,35,28,,
93793,21,35,,
93794,47,41,,
93888,3,,,
GLENN,18623,18297,,
95913,236,197,,
95920,150,103,,
95939,301,264,,
95943,298,319,,
95951,1316,1311,,
95963,9597,9679,,
95988,6725,6424,,
HOMELESS,424268,,,
HOMELESS,424268,,,
HUMBOLDT,77584,79946,,
95501,16172,17062,,
95502,1723,2037,,
95503,12768,13151,,
95511,113,131,,
95514,122,124,,
95518,474,458,,
95519,8826,8879,,
95521,8845,8800,,
95524,843,915,,
95525,855,897,,
95526,276,264,,
95528,658,600,,
95534,194,169,,
95536,1592,1641,,
95537,238,281,,
95540,9433,9499,,
95542,1251,1364,,
95545,47,77,,
95546,1783,1985,,
95547,838,759,,
95549,255,275,,
95550,51,37,,
95551,1197,1171,,
95553,454,573,,
95554,316,346,,
95555,206,223,,
95556,172,213,,
95558,125,155,,
95559,138,141,,
95560,1300,1401,,
95562,2435,2517,,
95564,356,327,,
95565,531,588,,
95569,138,115,,
95570,1268,1242,,
95571,176,181,,
95573,819,783,,
95589,596,565,,
IMPERIAL,101325,98735,,
92222,28,60,,
92227,21990,21131,,
92231,20322,19585,,
92232,621,547,,
92233,3294,3330,,
92243,28521,28635,,
92244,671,645,,
92249,3300,3280,,
92250,4335,4368,,
92251,12378,11522,,
92257,1729,1670,,
92259,232,206,,
92266,105,47,,
92273,1017,1007,,
92275,597,511,,
92281,1991,1997,,
92283,194,194,,
INYO,11438,12275,,
92328,17,28,,
92384,10,9,,
92389,12,1,,
93513,1082,1141,,
93514,7614,8307,,
93515,569,548,,
93522,34,44,,
93526,440,397,,
93530,69,66,,
93542,17,12,,
93545,1430,1602,,
93549,144,120,,
KERN,437073,464067,,
93203,8402,9416,,
93205,1751,1813,,
93206,839,794,,
93215,25186,25716,,
93216,1105,1423,,
93220,117,119,,
93222,601,580,,
93224,132,148,,
93225,1672,1884,,
93226,84,84,,
93238,765,822,,
93240,4746,4865,,
93241,7068,7739,,
93243,564,577,,
93249,959,950,,
93250,7605,7729,,
93251,83,93,,
93252,588,638,,
93255,435,397,,
93263,8800,9413,,
93268,6453,6932,,
93276,102,143,,
93280,10473,11125,,
93283,1514,1575,,
93285,1652,1734,,
93287,60,93,,
93301,13149,16326,,
93302,329,438,,
93303,286,320,,
93304,29429,30746,,
93305,25132,27295,,
93306,35996,38852,,
93307,46733,49923,,
93308,30792,33361,,
93309,27459,29046,,
93311,17373,18422,,
93312,18612,19896,,
93313,20826,22802,,
93314,10024,10853,,
93380,238,216,,
93383,68,96,,
93384,373,348,,
93385,293,398,,
93386,196,218,,
93387,252,344,,
93388,122,108,,
93389,453,460,,
93390,257,271,,
93501,4035,4148,,
93502,108,125,,
93504,236,266,,
93505,8935,8575,,
93516,1164,1216,,
93518,585,492,,
93519,28,12,,
93523,1576,1540,,
93524,115,73,,
93527,1454,1448,,
93528,116,125,,
93531,285,267,,
93554,31,24,,
93555,18657,17926,,
93556,644,585,,
93558,54,45,,
93560,10373,11170,,
93561,17640,17556,,
93581,841,886,,
93596,48,47,,
KINGS,78893,81438,,
93202,2678,2704,,
93204,6533,6784,,
93212,10530,11367,,
93230,38974,40047,,
93232,475,664,,
93239,685,706,,
93245,17740,18006,,
93246,442,356,,
93266,836,804,,
LAKE,58554,57645,,
95422,17725,16397,,
95423,3871,3454,,
95424,163,293,,
95426,1027,1083,,
95435,196,202,,
95443,279,302,,
95451,8883,9132,,
95453,9847,10128,,
95457,2695,2896,,
95458,3420,3252,,
95461,1746,1909,,
95464,2986,2989,,
95467,3255,3135,,
95485,2328,2322,,
95493,133,151,,
LASSEN,13569,13580,,
96009,305,298,,
96068,42,23,,
96109,263,268,,
96113,386,329,,
96114,1176,1172,,
96117,121,112,,
96119,65,37,,
96121,153,166,,
96123,49,51,,
96127,274,217,,
96128,226,198,,
96130,8515,8764,,
96132,14,15,,
96136,80,44,,
96137,1900,1886,,
LOS ANGELES,4174842,4417838,,
90001,31408,34496,,
90002,31518,34052,,
90003,44741,47388,,
90004,20164,20917,,
90005,11952,13077,,
90006,22456,24134,,
90007,13500,14976,,
90008,17451,18175,,
90009,501,527,,
90010,1288,1339,,
90011,51463,53630,,
90012,17616,19852,,
90013,9009,10609,,
90014,4905,5642,,
90015,9463,12671,,
90016,22750,23651,,
90017,11081,11622,,
90018,22604,24430,,
90019,23104,24055,,
90020,11074,11792,,
90021,2049,2542,,
90022,31094,32310,,
90023,23493,24634,,
90024,9497,13614,,
